"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CC0603KRX7R9BB561","C0603","Конденсатор керамический 560пФ 50В X7R CC0603KRX7R9BB561 0603 -55...125°C "Yageo"","560","*","C?","Конденсатор керамический 560пФ 50В X7R CC0603KRX7R9BB561 0603 -55...125°C "Yageo""
"CC0805KRX7R9BB104","C0805","Конденсатор керамический 0.1мкФх50В SMD 0805 CC0805KRX7R9BB104 «Yageo»","0,1","*","C?","Конденсатор керамический 0.1мкФх50В SMD 0805 CC0805KRX7R9BB104 «Yageo»"
"CC0805KRX7R9BB124","C0805","Конденсатор керамический 120 нФ 50В CC0805KRX7R9BB124 0805 -55...125°C "Yageo"","120 н","*","C?","Конденсатор керамический 120 нФ 50В CC0805KRX7R9BB124 0805 -55...125°C "Yageo""
"CC1210KKX7RYBB224","C1210","Конденсатор керамический 22mкФ 250В CC1210KKX7RYBB224 1210 -55...125°C "Yageo"","22мк","*","C?","Конденсатор керамический 22mкФ 250В CC1210KKX7RYBB224 1210 -55...125°C "Yageo""
"CC1812KKX7RYBB474","SMD 1812 Cap","Конденсатор керамический 0.47 мкФ х 250 В 10% SMD 1812 CC1812KKX7RYBB474 «Yageo»","0.47 мк","*","C?","Конденсатор керамический 0.47 мкФ х 250 В 10% SMD 1812 CC1812KKX7RYBB474 «Yageo»"
"CGA3E2C0G1H080D080AA","C0603","Конденсатор керамический 8пФ 50В CGA3E2C0G1H080D080AA 0603 -55...125°C "TDK"","8пФ","*","C?","Конденсатор керамический 8пФ 50В CGA3E2C0G1H080D080AA 0603 -55...125°C "TDK""
"CL05A225KO5NQNC","C0402","Конденсатор керамический 2.2мкФх16В X5R 10% SMD 0402 CL05A225KO5NQNC «Samsung»","2,2мк","*","C?","Конденсатор керамический 2.2мкФх16В X5R 10% SMD 0402 CL05A225KO5NQNC «Samsung»"
"CL05A225KO5NQNC_1","C0402","Конденсатор керамический 2.2мкФх16В X5R 10% SMD 0402 CL05A225KO5NQNC «Samsung»","2,2мк","*","C?","Конденсатор керамический 2.2мкФх16В X5R 10% SMD 0402 CL05A225KO5NQNC «Samsung»"
"CL10A475KQ8NNNC","C0603","Конденсатор керамический 4.7мкФ 50В CL10A475KQ8NNNC 0603 -55...125°C "Samsung"","4.7мкФ","*","C?","Конденсатор керамический 4.7мкФ 50В CL10A475KQ8NNNC 0603 -55...125°C "Samsung""
"CL10B103KB8NNNC","C0603","Конденсатор керамический 10нФ 50В CL10B103KB8NNNC 0603 -55...125°C "Samsung"","10нФ","*","C?","Конденсатор керамический 10нФ 50В CL10B103KB8NNNC 0603 -55...125°C "Samsung""
"CL10B105KO8NNNC","C0603","Конденсатор керамический 1мкФ 50В CL10B105KO8NNNC 0603 -55...125°C "Samsung"","1мкФ","*","C?","Конденсатор керамический 1мкФ 50В CL10B105KO8NNNC 0603 -55...125°C "Samsung""
"CL10B152KB8NNNC","C0603","Конденсатор керамический 1500пФ 50В CL10B152KB8NNNC 0603 -55...125°C "Samsung"","1500","*","C?","Конденсатор керамический 1500пФ 50В CL10B152KB8NNNC 0603 -55...125°C "Samsung""
"CL10B224KA8NNNC","C0603","Конденсатор 0,22мкФ 25В 0603  CL10B224KA8NNNC","0.22мк","*","C?","Конденсатор керамический 0,22mкФ 25В 0603 CL10B224KA8NNNC  -55...125°C "Samsung""
"CL10C221JB8NNNC","C0603","Конденсатор керамический 220пФ 50В CL10C221JB8NNNC 0603 -55...125°C "Samsung"","220","*","C?","Конденсатор керамический 220пФ 50В CL10C221JB8NNNC 0603 -55...125°C "Samsung""
"CL10C270JB8NNNC","C0603","Конденсатор керамический 27пФ 50В CL10C270JB8NNNC 0603 -55...125°C "Samsung"","27","*","C?","Конденсатор керамический 27пФ 50В CL10C270JB8NNNC 0603 -55...125°C "Samsung""
"CL21B224KCFSFNE","C0805","Конденсатор керамический 0,22 мкФ ±10% 100В X7R CL21B224KCFSFNE 0805 -55...125°C "Samsung"","0,22мкФ","*","C?","Конденсатор керамический 0,22 мкФ ±10% 100В X7R CL21B224KCFSFNE 0805 -55...125°C "Samsung""
"CL21B684KBFVPNE","C0805","Конденсатор керамический 0,68 мкФ ±10% 50В X7R CL21B684KBFVPNE 0805 -55...125°C "Samsung"","0,68мкФ","*","C?","Конденсатор керамический 0,68 мкФ ±10% 50В X7R CL21B684KBFVPNE 0805 -55...125°C "Samsung""
"CL31B102KJHNNNE","C1206","Конденсатор керамический 2 кВ, 1000 пФ ±10%, X7R, 1206, -55...125 °C «Samsung»","1000пФ","*","C?","Конденсатор керамический 2 кВ, 1000 пФ ±10%, X7R, 1206, -55...125 °C «Samsung»"
"CL31B106KAHNNNE","C1206","Конденсатор керамический 10 мкФ ±10% 25В X7R 1206 CL31B106KAHNNNE  -55...125°C "Samsung"","10мкФ","*","C?","Конденсатор керамический 10 мкФ ±10% 25В X7R 1206 CL31B106KAHNNNE  -55...125°C "Samsung""
"CL32B105KBHNNNE","C1206","Конденсатор керамический 1 мкФ ±10% 50В X7R CL32B105KBHNNNE 1206 -55...125°C "Samsung"","1мкФ","*","C?","Конденсатор керамический 1 мкФ ±10% 50В X7R CL32B105KBHNNNE 1206 -55...125°C "Samsung""
"EEEFK0J220R","CAP 10*10","Конденсатор электролитический алюминиевый 22мкФ 6,3В SMD 10,0х10,2 -55...105°C EEEFK0J220R «Panasonic»","22мкФ","*","C?","Конденсатор электролитический алюминиевый 22мкФ 6,3В SMD 10,0х10,2 -55...105°C EEEFK0J220R «Panasonic»"
"EEEFN1C330R","CAP SMD type B","Конденсатор электролитический алюминиевый 33мкФ 16В ±20%, SMD 4.0х5.8, -55...105 °C, 2000ч EEEFN1C330R «Panasonic»","33мкФ","*","C?","Конденсатор электролитический алюминиевый 33мкФ 16В ±20%, SMD 4.0х5.8, -55...105 °C, 2000ч EEEFN1C330R «Panasonic»"
"EEEFP1C100AR","CAPAE 4 5","Конденсатор электролитический алюминиевый 10мкФ 16В SMD 4х5,8  -55...105°C EEEFP1C100AR «Panasonic»","10мкФ","*","C?","Конденсатор электролитический алюминиевый 10мкФ 16В SMD 4х5,8  -55...105°C EEEFP1C100AR «Panasonic»"
"EEEFTH101XAP","CAP  6.3*7.7","Конденсатор электролитический алюминиевый 100 мкФ ±20%, 50 В  SMD 6.3*7.7мм, -55...105 °C, 2000 ч EEEFTH101XAP «Panasonic»","100мкФ","*","C?","Конденсатор электролитический алюминиевый 100 мкФ ±20%, 50 В  SMD 6.3*7.7мм, -55...105 °C, 2000 ч EEEFTH101XAP «Panasonic»"
"EEEFTH101XAP_1","CAP 6.3*5.4","Конденсатор электролитический алюминиевый 22 мкФ ±20%, 35В SMD 6,3*5,4, -40...85 °C, 2000 ч EEEFTH101XAP «Panasonic»","22мкФ","*","C?","Конденсатор электролитический алюминиевый 22 мкФ ±20%, 35В SMD 6,3*5,4, -40...85 °C, 2000 ч EEEFTH101XAP «Panasonic»"
"EEEHD1H4R7R","CAP SMD TYPE C","Конденсатор электролитический алюминиевый 4.7мкФ 50В SMD type C  -55...105°C 5000 часов EEEHD1H4R7R «Panasonic»","4,7мкФ","*","C?","Конденсатор электролитический алюминиевый 4.7мкФ 50В SMD type C  -55...105°C 5000 часов EEEHD1H4R7R «Panasonic»"
"EEHZA1H330XP","CAP SMD type D","Конденсатор электролитический алюминиевый 33мкФ 50В ±20%, SMD 5.0х11.0, -55...105 °C, 10000ч EEHZA1H330XP «Panasonic»","33мкФ","*","C?","Конденсатор электролитический алюминиевый 33мкФ 50В ±20%, SMD 5.0х11.0, -55...105 °C, 10000ч EEHZA1H330XP «Panasonic»"
"EEHZC1H101P","CAP 10*10","Конденсатор электролитический алюминиевый 100мкФ 50В SMD 10,0 х10,2 EEHZC1H101P «Panasonic»","100мкФ","*","C?","Конденсатор электролитический алюминиевый 100мкФ 50В SMD 10,0 х10,2 EEHZC1H101P «Panasonic»"
"EEUFR1H100","Capacitor d5 axial","Конденсатор электролитический алюминиевый 10мкФ 50В SMD 5х11  -55...105°C EEUFR1H100 «Panasonic»","10мкФ","*","C?","Конденсатор электролитический алюминиевый 10мкФ 50В SMD 5х11  -55...105°C EEUFR1H100 «Panasonic»"
"EEUFR1H331LB","CAP AXIAL 10*25","Конденсатор электролитический алюминиевый 330мкФ 50В 10000 часов AXIAL 10,0х25 -55...105°C EEUFR1H331LB «Panasonic»","330мкФ","*","C?","Конденсатор электролитический алюминиевый 330мкФ 50В 10000 часов AXIAL 10,0х25 -55...105°C EEUFR1H331LB «Panasonic»"
"EEUFR1H471","CAP 12.5 AXIAL step5mm","Конденсатор электролитический алюминиевый AXIAL low ESR 470 мкФ 50В 12.5мм*20.0мм  -40...105°C EEUFR1H471 «Panasonic»","470мкФ","*","C?","Конденсатор электролитический алюминиевый AXIAL low ESR 470 мкФ 50В 12.5мм*20.0мм  -40...105°C EEUFR1H471 «Panasonic»"
"EEUFR1V102","C электр радиальн д12.5","Конденсатор электролитический алюминиевый 1000 мкФ 35В DIP 12,5х20  -40...105°C EEUFR1V102 «Panasonic»","1000мкФ","*","C?","Конденсатор электролитический алюминиевый 1000 мкФ 35В DIP 12,5х20  -40...105°C EEUFR1V102 «Panasonic»"
"EEUFS2A221","CAP AXIAL 12,5*25","Конденсатор электролитический алюминиевый 220 мкФ ±20%, 100 В  выводной -40...105 °C, 10000 ч EEUFS2A221 «Panasonic»","220 мкФ","*","C?","Конденсатор электролитический алюминиевый 220 мкФ ±20%, 100 В  выводной -40...105 °C, 10000 ч EEUFS2A221 «Panasonic»"
"EEVFK1H681M","CAPAE 16 16","Конденсатор электролитический алюминиевый 680мкФ 50В ±20%, SMD 16х16.5, -55...105 °C, 1000ч EEVFK1H681M «Panasonic»","680мкФ","*","C?","Конденсатор электролитический алюминиевый 680мкФ 50В ±20%, SMD 16х16.5, -55...105 °C, 1000ч EEVFK1H681M «Panasonic»"
"FKS3J011003A00KSSD","FKS3J","Конденсатор плёночный 1000 пФ ±10%, 600В DIP FKS3J011003A00KSSD  -55...105°C "WIMA GROUP"","1000","*","C?","Конденсатор плёночный 1000 пФ ±10%, 600В DIP FKS3J011003A00KSSD  -55...105°C "WIMA GROUP""
"GRM1885C1H161JA01D","C0603","Конденсатор керамический 160пФх50В SMD 0603 GRM1885C1H161JA01D «Murata»","160пФ","*","C?","Конденсатор керамический 160пФх50В SMD 0603 GRM1885C1H161JA01D «Murata»"
"GRM1885C1H361JA01D","C0603","Конденсатор керамический 360пФх50В SMD 0603 NP0 GRM1885C1H361JA01D «Murata»","360пФ","*","C?","Конденсатор керамический 360пФх50В SMD 0603 NP0 GRM1885C1H361JA01D «Murata»"
"HP32G102MSBS9","","Конденсатор электролитический алюминиевый 1000 мкФ 40035В DIP 40х61  -40...105°C HP32G102MSBS9 «Hitachi AIC»","1000мкФ","*","C?","Конденсатор электролитический алюминиевый 1000 мкФ 40035В DIP 40х61  -40...105°C HP32G102MSBS9 «Hitachi AIC»"
"JFB02G334K150000B","C пленочный L=15мм LOW","Конденсатор плёночный 0.33мкФ ±5%, 400В JFB02G334K150000B AXIS-15мм -40...85°C "JB Capacitors Company"","0.33мкФ","*","C?","Конденсатор плёночный 0.33мкФ ±5%, 400В JFB02G334K150000B AXIS-15мм -40...85°C "JB Capacitors Company""
"JFL02J105K225000B","C пленочный L=15мм","Конденсатор плёночный 630 В, 1 мкФ ±10%, Polypropylene (PP), JFL02J105K225000B -40...85°C "JB Capacitors Company"","1мкФ","*","C?","Конденсатор плёночный 630 В, 1 мкФ ±10%, Polypropylene (PP), JFL02J105K225000B -40...85°C "JB Capacitors Company""
"JFP03D103K225000B","C пленочный L=15мм","Конденсатор плёночный 2 кВ, 0.01 мкФ ±10%, Polypropylene (PP) JFP03D103K225000B -40...85 °C "JB Capacitors Company"","10нФ","*","C?","Конденсатор плёночный 2 кВ, 0.01 мкФ ±10%, Polypropylene (PP) JFP03D103K225000B -40...85 °C "JB Capacitors Company""
"JNE2W471M10003500400","CAP AXIAL 35x40","Конденсатор электролитический алюминиевый 470мкФ 450В ±20%, AXIAL 35[40мм ,-20...105 °C, 2000ч JNE2W471M10003500400 «JB Capacitors Company»","470мкФ","*","C?","Конденсатор электролитический алюминиевый 470мкФ 450В ±20%, AXIAL 35[40мм ,-20...105 °C, 2000ч JNE2W471M10003500400 «JB Capacitors Company»"
"TAJA104K035RNJ","CAP тантал  корпус А","Конденсатор танталовый 0,1мкФ 35В SMD-А -55...125°C TAJA104K035RNJ «AVX»","0.1 мкФ","*","C?","Конденсатор танталовый 0,1мкФ 35В SMD-А -55...125°C TAJA104K035RNJ «AVX»"
"TCC0603X7R224K500CT","C0603","Конденсатор керамический 0.22 мкФ ±10%, X7R 50В TCC0603X7R224K500CT 0603 -55...125°C "CCTC"","0.22мкФ","*","C?","Конденсатор керамический 0.22 мкФ ±10%, X7R 50В TCC0603X7R224K500CT 0603 -55...125°C "CCTC""
"UMW1H0R1MDD1TP","CAPAE 4 5","Конденсатор электролитический алюминиевый 0.1мкФх50В ±20%, SMD 4.0х5.0, -40...85°C, 1000ч UMW1H0R1MDD1TP «Nichicon»","0,1мкФ","*","C?","Конденсатор электролитический алюминиевый 0.1мкФх50В ±20%, SMD 4.0х5.0, -40...85°C, 1000ч UMW1H0R1MDD1TP «Nichicon»"
"VJ0603A471KXACW1BC","C0603","Конденсатор керамический 470пФх50В SMD 0603 VJ0603A471KXACW1BC «Vishay»","470пФ","*","C?","Конденсатор керамический 470пФх50В SMD 0603 VJ0603A471KXACW1BC «Vishay»"
"VJ0603Y104KXACW1BC","C0603","Конденсатор керамический 0.1мкФх50В SMD 0603 VJ0603Y104KXACW1BC «Vishay»","0,1","*","C?","Конденсатор керамический 0.1мкФх50В SMD 0603 VJ0603Y104KXACW1BC «Vishay»"
"К78-2, 6800 пФ, 1000 В","C пленочный L=20ММ","Конденсатор плёночный 1000 В, 6800 пФ ±10%, К78-2","6800","*","C?","Конденсатор плёночный 1000 В, 6800 пФ ±10%, К78-2"
